#proteinId,iprId,iprDesc,domainDb,domainId,domainDesc,numHits,domainStarts,domainEnds,score
1,IPR002529,"Fumarylacetoacetase, C-terminal",HMMPfam,PF01557,Fumarylacetoacetate (FAA) hydrolase family,1,"567,","779,",6.80E-57
809,\N,\N,SUPERFAMILY,SSF57716,\N,2,"611,687,","633,721,","5.35E-8,5.35E-8"
810,IPR001163,Ribonucleoprotein LSM domain,HMMPfam,PF01423,LSM domain,1,"30,","98,",2.70E-19
810,IPR006649,"Ribonucleoprotein LSM domain, eukaryotic/archaea-type",SMART,SM00651,snRNP Sm proteins,1,"25,","99,",1.00E-19
810,IPR010920,Like-Sm (LSM) domain,SUPERFAMILY,SSF50182,\N,1,"20,","98,",3.52E-22
811,IPR004006,Dak kinase,HMMPfam,PF02733,Dak1 domain,1,"18,","334,",4.70E-110
811,IPR004007,DhaL domain,HMMPfam,PF02734,DAK2 domain,1,"416,","589,",1.60E-45
811,IPR004007,DhaL domain,ProSiteProfiles,PS51480,DhaL domain profile.,1,"389,","590,",31.485
811,IPR004006,Dak kinase,ProSiteProfiles,PS51481,DhaK domain profile.,1,"9,","353,",106.135
811,IPR004007,DhaL domain,SUPERFAMILY,SSF101473,\N,1,"378,","591,",2.49E-50
811,\N,\N,SUPERFAMILY,SSF82549,\N,1,"13,","354,",9.42E-95
811,IPR012734,Dihydroxyacetone kinase,TIGRFAM,TIGR02361,dak_ATP: dihydroxyacetone kinase,1,"4,","588,",6.40E-214
812,IPR011545,DEAD/DEAH box helicase domain,HMMPfam,PF00270,DEAD/DEAH box helicase,1,"584,","742,",6.80E-08
812,IPR001650,"Helicase, C-terminal",HMMPfam,PF00271,Helicase conserved C-terminal domain,1,"858,","942,",1.10E-12
812,IPR007502,Helicase-associated domain,HMMPfam,PF04408,Helicase associated domain (HA2),1,"1007,","1086,",2.00E-16
812,IPR006575,RWD domain,HMMPfam,PF05773,RWD domain,1,"397,","498,",5.40E-13
812,IPR011709,Domain of unknown function DUF1605,HMMPfam,PF07717,Oligonucleotide/oligosaccharide-binding (OB)-fold,1,"1149,","1279,",1.20E-15
812,IPR002464,"DNA/RNA helicase, ATP-dependent, DEAH-box type, conserved site",ProSitePatterns,PS00690,DEAH-box subfamily ATP-dependent helicases signature.,1,"699,","708,",-
812,IPR015940,"Ubiquitin-associated/translation elongation factor EF1B, N-terminal, eukaryote",ProSiteProfiles,PS50030,Ubiquitin-associated domain (UBA) profile.,2,"275,342,","315,381,","8.932,9.294"
812,IPR006575,RWD domain,ProSiteProfiles,PS50908,RWD domain profile.,1,"402,","501,",14.377
812,IPR014001,"Helicase superfamily 1/2, ATP-binding domain",ProSiteProfiles,PS51192,Superfamilies 1 and 2 helicase ATP-binding type-1 domain profile.,1,"586,","757,",21.04
812,IPR001650,"Helicase, C-terminal",ProSiteProfiles,PS51194,Superfamilies 1 and 2 helicase C-terminal domain profile.,1,"812,","983,",14.876
812,IPR015940,"Ubiquitin-associated/translation elongation factor EF1B, N-terminal, eukaryote",SMART,SM00165,Ubiquitin associated domain,2,"278,343,","314,380,","28.0,9.9E-4"
812,IPR014001,"Helicase superfamily 1/2, ATP-binding domain",SMART,SM00487,DEAD-like helicases superfamily,1,"574,","769,",8.60E-23
812,IPR001650,"Helicase, C-terminal",SMART,SM00490,helicase superfamily c-terminal domain,1,"843,","943,",4.30E-16
812,IPR006575,RWD domain,SMART,SM00591,\N,1,"402,","501,",7.80E-07
812,IPR007502,Helicase-associated domain,SMART,SM00847,Helicase associated domain (HA2)  Add an annotation,1,"1006,","1097,",6.20E-20
812,IPR009060,UBA-like,SUPERFAMILY,SSF46934,\N,1,"281,","329,",2.55E-07
812,IPR027417,P-loop containing nucleoside triphosphate hydrolase,SUPERFAMILY,SSF52540,\N,2,"573,809,","774,1127,","1.74E-64,1.74E-64"
812,IPR016135,Ubiquitin-conjugating enzyme/RWD-like,SUPERFAMILY,SSF54495,\N,1,"395,","498,",2.75E-13
813,IPR006671,"Cyclin, N-terminal",HMMPfam,PF00134,"Cyclin, N-terminal domain",1,"412,","537,",1.60E-42
813,IPR004367,"Cyclin, C-terminal domain",HMMPfam,PF02984,"Cyclin, C-terminal domain",1,"540,","653,",2.80E-34
813,IPR006671,"Cyclin, N-terminal",ProSitePatterns,PS00292,Cyclins signature.,1,"442,","473,",-
813,IPR013763,Cyclin-like,SMART,SM00385,"domain present in cyclins, TFIIB and Retinoblastoma",2,"447,544,","531,625,","8.5E-27,3.4E-20"
813,IPR013763,Cyclin-like,SUPERFAMILY,SSF47954,\N,2,"403,539,","537,653,","1.26E-48,5.67E-38"
814,IPR001138,Zn(2)-C6 fungal-type DNA-binding domain,ProSiteProfiles,PS50048,Zn(2)-C6 fungal-type DNA-binding domain profile.,1,"518,","550,",8.995
814,IPR001138,Zn(2)-C6 fungal-type DNA-binding domain,SMART,SM00066,GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain,1,"513,","559,",0.0067
815,IPR007811,DNA-directed RNA polymerase III subunit RPC4,HMMPfam,PF05132,RNA polymerase III RPC4,1,"373,","550,",2.30E-26
817,IPR005595,"Translocon-associated protein (TRAP), alpha subunit",HMMPfam,PF03896,"Translocon-associated protein (TRAP), alpha subunit",1,"57,","188,",1.40E-07
818,IPR013721,STAG,HMMPfam,PF08514,STAG domain,1,"228,","340,",3.60E-30
818,IPR020839,Stromalin conservative domain,ProSiteProfiles,PS51425,Stromalin conservative (SCD) domain profile.,1,"363,","448,",30.715
818,IPR016024,Armadillo-type fold,SUPERFAMILY,SSF48371,\N,6,"174,350,605,722,847,1035,","521,505,695,791,982,1063,","2.52E-9,4.21E-15,2.52E-9,4.21E-15,2.52E-9,2.52E-9"
819,IPR002669,Urease accessory protein UreD,HMMPfam,PF01774,UreD urease accessory protein,1,"60,","305,",6.10E-53
820,\N,\N,HMMPfam,PF14681,Uracil phosphoribosyltransferase,1,"77,","284,",1.90E-74
820,IPR029057,Phosphoribosyltransferase-like,SUPERFAMILY,SSF53271,\N,1,"73,","282,",5.11E-47
821,IPR003691,Putative fluoride ion transporter CrcB,HMMPfam,PF02537,CrcB-like protein,2,"24,235,","125,345,","8.2E-11,1.8E-22"
824,IPR000719,Protein kinase domain,HMMPfam,PF00069,Protein kinase domain,1,"229,","338,",1.50E-08
824,IPR000719,Protein kinase domain,ProSiteProfiles,PS50011,Protein kinase domain profile.,1,"113,","377,",11.623
824,IPR011009,Protein kinase-like domain,SUPERFAMILY,SSF56112,\N,1,"216,","340,",2.02E-16
825,IPR000873,AMP-dependent synthetase/ligase,HMMPfam,PF00501,AMP-binding enzyme,1,"39,","444,",1.00E-89
825,IPR025110,AMP-binding enzyme C-terminal domain,HMMPfam,PF13193,AMP-binding enzyme C-terminal domain,1,"453,","531,",1.60E-12
825,IPR020845,"AMP-binding, conserved site",ProSitePatterns,PS00455,Putative AMP-binding domain signature.,1,"194,","205,",-
825,\N,\N,SUPERFAMILY,SSF56801,\N,1,"37,","543,",7.20E-124
826,IPR005180,Domain of unknown function DUF302,SUPERFAMILY,SSF103247,\N,1,"65,","197,",1.03E-11
827,IPR019734,Tetratricopeptide repeat,ProSiteProfiles,PS50005,TPR repeat profile.,1,"91,","124,",8.614
828,IPR002293,Amino acid/polyamine transporter I,HMMPfam,PF13520,Amino acid permease,1,"69,","498,",2.40E-46
828,IPR002293,Amino acid/polyamine transporter I,PIRSF,PIRSF006060,\N,1,"34,","522,",473
830,IPR008254,Flavodoxin/nitric oxide synthase,HMMPfam,PF00258,Flavodoxin,1,"154,","318,",2.90E-06
830,IPR007197,Radical SAM,HMMPfam,PF04055,Radical SAM superfamily,1,"486,","667,",4.10E-22
830,IPR013917,tRNA wybutosine-synthesis,HMMPfam,PF08608,Wyosine base formation,1,"672,","740,",1.90E-23
830,IPR001226,"Flavodoxin, conserved site",ProSitePatterns,PS00201,Flavodoxin signature.,1,"154,","170,",-
830,IPR008254,Flavodoxin/nitric oxide synthase,ProSiteProfiles,PS50902,Flavodoxin-like domain profile.,1,"152,","323,",11.623
830,\N,\N,SUPERFAMILY,SSF102114,\N,1,"489,","747,",2.35E-10
830,IPR029039,Flavoprotein-like,SUPERFAMILY,SSF52218,\N,1,"152,","328,",1.42E-22
831,IPR013094,Alpha/beta hydrolase fold-3,HMMPfam,PF07859,alpha/beta hydrolase fold,1,"10,","188,",9.60E-44
831,IPR029058,Alpha/Beta hydrolase fold,SUPERFAMILY,SSF53474,\N,1,"10,","209,",1.05E-37
833,IPR001926,Tryptophan synthase beta subunit-like PLP-dependent enzyme,HMMPfam,PF00291,Pyridoxal-phosphate dependent enzyme,1,"112,","467,",1.80E-19
833,IPR029144,"Threonine synthase, N-terminal",HMMPfam,PF14821,Threonine synthase N terminus,1,"7,","89,",2.40E-23
833,IPR000634,"Serine/threonine dehydratase, pyridoxal-phosphate-binding site",ProSitePatterns,PS00165,Serine/threonine dehydratases pyridoxal-phosphate attachment site.,1,"113,","127,",-
833,IPR001926,Tryptophan synthase beta subunit-like PLP-dependent enzyme,SUPERFAMILY,SSF53686,\N,1,"8,","523,",3.92E-151
833,IPR004450,Threonine synthase-like,TIGRFAM,TIGR00260,thrC: threonine synthase,1,"75,","499,",3.60E-91
834,IPR001461,Aspartic peptidase,HMMPfam,PF00026,Eukaryotic aspartyl protease,1,"103,","416,",7.20E-61
834,IPR001461,Aspartic peptidase,PRINTS,PR00792,Pepsin (A1) aspartic protease family signature,4,"107,250,299,391,","127,263,310,406,","2.0E-15,2.0E-15,2.0E-15,2.0E-15"
834,IPR001969,"Aspartic peptidase, active site",ProSitePatterns,PS00141,Eukaryotic and viral aspartyl proteases active site.,2,"116,299,","127,310,","-,-"
834,IPR021109,Aspartic peptidase domain,SUPERFAMILY,SSF50630,\N,1,"94,","416,",1.13E-77
835,IPR019591,Mrp/NBP35 ATP-binding protein,HMMPfam,PF10609,ParA/MinD ATPase like,1,"187,","268,",1.90E-35
835,IPR000808,"Mrp, conserved site",ProSitePatterns,PS01215,Mrp family signature.,1,"184,","200,",-
835,IPR027417,P-loop containing nucleoside triphosphate hydrolase,SUPERFAMILY,SSF52540,\N,1,"62,","309,",1.81E-56
836,IPR007318,Phospholipid methyltransferase,HMMPfam,PF04191,Phospholipid methyltransferase,2,"233,495,","331,597,","2.6E-21,8.6E-37"
836,IPR016219,"Phosphatidylethanolamine N-methyltransferase, fungi",PIRSF,PIRSF000383,\N,1,"22,","965,",878
836,IPR016219,"Phosphatidylethanolamine N-methyltransferase, fungi",ProSiteProfiles,PS51598,Phosphatidylethanolamine N-methyltransferase (EC 2.1.1.17) family profile.,1,"1,","963,",377.938
837,IPR019438,Protein of unknown function DUF2419,HMMPfam,PF10343,Protein of unknown function (DUF2419),1,"131,","440,",7.20E-121
838,IPR000594,UBA/THIF-type NAD/FAD binding fold,HMMPfam,PF00899,ThiF family,1,"19,","152,",2.50E-42
838,IPR000127,Ubiquitin-activating enzyme repeat,HMMPfam,PF02134,Repeat in ubiquitin-activating (UBA) protein,1,"339,","404,",2.70E-31
838,IPR019572,Ubiquitin-activating enzyme,HMMPfam,PF10585,Ubiquitin-activating enzyme active site,1,"158,","202,",3.60E-19
838,IPR028077,Ubiquitin/SUMO-activating enzyme ubiquitin-like domain,HMMPfam,PF14732,Ubiquitin/SUMO-activating enzyme ubiquitin-like domain,1,"441,","523,",4.90E-18
838,IPR030661,SUMO-activating enzyme subunit SAE2/Uba2,PIRSF,PIRSF039133,\N,1,"3,","602,",571
838,IPR018074,"Ubiquitin-activating enzyme, E1, active site",ProSitePatterns,PS00865,Ubiquitin-activating enzyme active site.,1,"174,","182,",-
838,\N,\N,ProSiteProfiles,PS51257,Prokaryotic membrane lipoprotein lipid attachment site profile.,1,"1,","33,",6
838,IPR009036,"Molybdenum cofactor biosynthesis, MoeB",SUPERFAMILY,SSF69572,\N,2,"15,338,","206,509,","1.44E-104,1.44E-104"
839,IPR016073,"SKP1 component, POZ domain",HMMPfam,PF03931,"Skp1 family, tetramerisation domain",1,"13,","77,",2.60E-12
839,IPR001232,S-phase kinase-associated protein 1-like,SMART,SM00512,Found in Skp1 protein family,1,"12,","107,",2.30E-12
839,IPR011333,BTB/POZ fold,SUPERFAMILY,SSF54695,\N,1,"14,","105,",1.65E-31
840,IPR024336,"tRNA-splicing endonuclease, subunit Sen54, N-terminal",HMMPfam,PF12928,tRNA-splicing endonuclease subunit sen54 N-term,1,"73,","158,",4.30E-23
842,IPR011022,Arrestin C-terminal-like domain,HMMPfam,PF02752,"Arrestin (or S-antigen), C-terminal domain",1,"186,","341,",2.30E-15
842,IPR011022,Arrestin C-terminal-like domain,SMART,SM01017,"Arrestin (or S-antigen), C-terminal domain",1,"185,","341,",2.40E-09
843,IPR002130,Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain,HMMPfam,PF00160,Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD,1,"3,","165,",3.90E-47
843,IPR024936,Cyclophilin-type peptidyl-prolyl cis-trans isomerase,PIRSF,PIRSF001467,\N,1,"1,","172,",175
843,IPR002130,Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain,PRINTS,PR00153,Cyclophilin peptidyl-prolyl cis-trans isomerase signature,5,"16,42,95,110,123,","31,54,110,122,138,","2.9E-30,2.9E-30,2.9E-30,2.9E-30,2.9E-30"
843,IPR020892,"Cyclophilin-type peptidyl-prolyl cis-trans isomerase, conserved site",ProSitePatterns,PS00170,Cyclophilin-type peptidyl-prolyl cis-trans isomerase signature.,1,"37,","54,",-
843,IPR002130,Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain,ProSiteProfiles,PS50072,Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain profile.,1,"6,","166,",31.253
843,IPR029000,Cyclophilin-like domain,SUPERFAMILY,SSF50891,\N,1,"3,","166,",9.94E-54
844,IPR001452,SH3 domain,HMMPfam,PF00018,SH3 domain,1,"154,","200,",5.20E-06
844,IPR001452,SH3 domain,ProSiteProfiles,PS50002,Src homology 3 (SH3) domain profile.,1,"147,","208,",12.107
844,IPR001452,SH3 domain,SMART,SM00326,Src homology 3 domains,1,"150,","207,",1.00E-08
844,IPR001452,SH3 domain,SUPERFAMILY,SSF50044,\N,1,"136,","246,",6.43E-17
845,IPR000719,Protein kinase domain,HMMPfam,PF00069,Protein kinase domain,1,"341,","647,",1.40E-42
845,IPR017441,"Protein kinase, ATP binding site",ProSitePatterns,PS00107,Protein kinases ATP-binding region signature.,1,"347,","372,",-
845,IPR008271,"Serine/threonine-protein kinase, active site",ProSitePatterns,PS00108,Serine/Threonine protein kinases active-site signature.,1,"469,","481,",-
845,IPR000719,Protein kinase domain,ProSiteProfiles,PS50011,Protein kinase domain profile.,1,"341,","647,",37.036
845,IPR002290,"Serine/threonine/dual specificity protein kinase, catalytic  domain",SMART,SM00220,"Serine/Threonine protein kinases, catalytic domain",1,"341,","647,",4.30E-46
845,IPR011009,Protein kinase-like domain,SUPERFAMILY,SSF56112,\N,1,"333,","654,",1.39E-54
847,IPR013149,"Alcohol dehydrogenase, C-terminal",HMMPfam,PF00107,Zinc-binding dehydrogenase,1,"181,","302,",3.10E-17
847,IPR013154,Alcohol dehydrogenase GroES-like,HMMPfam,PF08240,Alcohol dehydrogenase GroES-like domain,1,"33,","139,",1.00E-26
847,IPR020843,"Polyketide synthase, enoylreductase domain",SMART,SM00829,Enoylreductase,1,"18,","311,",0.0073
847,IPR011032,GroES (chaperonin 10)-like,SUPERFAMILY,SSF50129,\N,1,"4,","186,",4.26E-46
847,\N,\N,SUPERFAMILY,SSF51735,\N,1,"144,","308,",3.86E-32
848,IPR000182,GNAT domain,HMMPfam,PF13508,Acetyltransferase (GNAT) domain,1,"128,","202,",2.20E-07
848,IPR000182,GNAT domain,ProSiteProfiles,PS51186,Gcn5-related N-acetyltransferase (GNAT) domain profile.,1,"81,","223,",13.046
848,IPR016181,Acyl-CoA N-acyltransferase,SUPERFAMILY,SSF55729,\N,2,"2,138,","111,223,","3.33E-22,3.33E-22"
849,IPR029058,Alpha/Beta hydrolase fold,SUPERFAMILY,SSF53474,\N,2,"6,134,","106,204,","1.31E-11,1.31E-11"
850,IPR029058,Alpha/Beta hydrolase fold,SUPERFAMILY,SSF53474,\N,2,"6,134,","106,204,","1.31E-11,1.31E-11"
852,IPR013922,Cyclin PHO80-like,HMMPfam,PF08613,Cyclin,1,"186,","287,",2.60E-16
853,\N,\N,HMMPfam,PF12706,Beta-lactamase superfamily domain,1,"94,","325,",7.00E-21
853,IPR001279,Beta-lactamase-like,SUPERFAMILY,SSF56281,\N,2,"61,248,","220,361,","2.1E-18,2.1E-18"
854,IPR022057,Chitin synthase III catalytic subunit,HMMPfam,PF12271,Chitin synthase III catalytic subunit,1,"1,","294,",6.60E-131
857,IPR002685,"Glycosyl transferase, family 15",HMMPfam,PF01793,Glycolipid 2-alpha-mannosyltransferase,1,"92,","427,",8.50E-134
857,IPR002685,"Glycosyl transferase, family 15",PIRSF,PIRSF018153,\N,1,"19,","507,",431
857,IPR029044,Nucleotide-diphospho-sugar transferases,SUPERFAMILY,SSF53448,\N,3,"109,352,470,","313,434,504,","6.19E-134,6.19E-134,6.19E-134"
858,IPR001849,Pleckstrin homology domain,HMMPfam,PF00169,PH domain,2,"59,309,","141,408,","1.5E-8,1.9E-12"
858,IPR001849,Pleckstrin homology domain,ProSiteProfiles,PS50003,PH domain profile.,2,"45,308,","144,408,","11.69,15.503"
858,IPR001849,Pleckstrin homology domain,SMART,SM00233,Pleckstrin homology domain.,2,"46,309,","146,410,","1.6E-11,5.6E-16"
858,\N,\N,SUPERFAMILY,SSF50729,\N,2,"6,305,","141,407,","6.97E-19,8.84E-28"
859,IPR024629,Mitochondrial homologous recombination protein 1,HMMPfam,PF12829,Transcriptional regulation of mitochondrial recombination,1,"85,","176,",3.70E-27
860,IPR013149,"Alcohol dehydrogenase, C-terminal",HMMPfam,PF00107,Zinc-binding dehydrogenase,1,"176,","279,",5.90E-16
860,IPR013154,Alcohol dehydrogenase GroES-like,HMMPfam,PF08240,Alcohol dehydrogenase GroES-like domain,1,"39,","99,",3.90E-09
860,IPR020843,"Polyketide synthase, enoylreductase domain",SMART,SM00829,Enoylreductase,1,"21,","347,",1.10E-12
860,IPR011032,GroES (chaperonin 10)-like,SUPERFAMILY,SSF50129,\N,1,"21,","171,",6.93E-31
860,\N,\N,SUPERFAMILY,SSF51735,\N,1,"146,","324,",2.98E-32
861,IPR013342,"Mandelate racemase/muconate lactonizing enzyme, C-terminal",HMMPfam,PF01188,"Mandelate racemase / muconate lactonizing enzyme, C-terminal domain",1,"194,","246,",3.30E-09
861,IPR013341,"Mandelate racemase/muconate lactonizing enzyme, N-terminal domain",HMMPfam,PF02746,"Mandelate racemase / muconate lactonizing enzyme, N-terminal domain",1,"40,","132,",9.00E-19
861,\N,\N,HMMPfam,PF13378,Enolase C-terminal domain-like,1,"248,","360,",1.40E-16
861,IPR013342,"Mandelate racemase/muconate lactonizing enzyme, C-terminal",SMART,SM00922,"Mandelate racemase / muconate lactonizing enzyme, C-terminal domain",1,"150,","244,",1.90E-05
861,IPR029065,Enolase C-terminal domain-like,SUPERFAMILY,SSF51604,\N,1,"120,","367,",3.93E-46
861,IPR029017,Enolase N-terminal domain-like,SUPERFAMILY,SSF54826,\N,1,"7,","133,",1.77E-27
863,IPR017941,Rieske [2Fe-2S] iron-sulphur domain,HMMPfam,PF00355,Rieske [2Fe-2S] domain,1,"51,","133,",6.00E-15
863,IPR015879,"Aromatic-ring-hydroxylating dioxygenase, alpha subunit, C-terminal domain",HMMPfam,PF00848,Ring hydroxylating alpha subunit (catalytic domain),1,"190,","365,",1.00E-36
863,IPR001663,"Aromatic-ring-hydroxylating dioxygenase, alpha subunit",PRINTS,PR00090,Ring hydroxylating dioxygenase alpha-subunit signature,4,"35,86,107,191,","60,106,127,213,","5.8E-17,5.8E-17,5.8E-17,5.8E-17"
863,IPR017941,Rieske [2Fe-2S] iron-sulphur domain,ProSiteProfiles,PS51296,Rieske [2Fe-2S] iron-sulfur domain profile.,1,"51,","138,",23.216
863,IPR017941,Rieske [2Fe-2S] iron-sulphur domain,SUPERFAMILY,SSF50022,\N,1,"24,","163,",1.44E-43
863,\N,\N,SUPERFAMILY,SSF55961,\N,1,"180,","362,",1.26E-38
864,IPR001138,Zn(2)-C6 fungal-type DNA-binding domain,HMMPfam,PF00172,Fungal Zn(2)-Cys(6) binuclear cluster domain,1,"41,","78,",4.00E-08
864,IPR021858,Protein of unknown function DUF3468,HMMPfam,PF11951,Fungal specific transcription factor domain,1,"299,","653,",4.40E-31
864,IPR001138,Zn(2)-C6 fungal-type DNA-binding domain,ProSitePatterns,PS00463,Zn(2)-C6 fungal-type DNA-binding domain signature.,1,"41,","69,",-
864,IPR001138,Zn(2)-C6 fungal-type DNA-binding domain,ProSiteProfiles,PS50048,Zn(2)-C6 fungal-type DNA-binding domain profile.,1,"41,","69,",10.766
864,IPR001138,Zn(2)-C6 fungal-type DNA-binding domain,SMART,SM00066,GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain,1,"36,","80,",2.10E-09
864,IPR001138,Zn(2)-C6 fungal-type DNA-binding domain,SUPERFAMILY,SSF57701,\N,1,"39,","75,",7.06E-09
865,IPR011021,"Arrestin-like, N-terminal",HMMPfam,PF00339,"Arrestin (or S-antigen), N-terminal domain",1,"215,","295,",1.50E-06
865,IPR011022,Arrestin C-terminal-like domain,HMMPfam,PF02752,"Arrestin (or S-antigen), C-terminal domain",1,"314,","513,",7.80E-23
865,IPR011022,Arrestin C-terminal-like domain,SMART,SM01017,"Arrestin (or S-antigen), C-terminal domain",1,"314,","515,",2.30E-27
865,IPR014756,Immunoglobulin E-set,SUPERFAMILY,SSF81296,\N,2,"99,233,","161,305,","1.49E-5,1.49E-5"
866,IPR001357,BRCT domain,HMMPfam,PF00533,BRCA1 C Terminus (BRCT) domain,2,"314,413,","392,487,","1.1E-4,4.5E-8"
866,IPR001357,BRCT domain,HMMPfam,PF12738,twin BRCT domain,2,"23,118,","87,181,","2.0E-13,7.2E-20"
866,IPR001357,BRCT domain,ProSiteProfiles,PS50172,BRCT domain profile.,4,"15,110,309,412,","88,199,405,502,","15.955,16.455,13.562,15.009"
866,IPR001357,BRCT domain,SMART,SM00292,breast cancer carboxy-terminal domain,4,"17,112,311,414,","95,189,395,492,","3.6E-11,3.4E-13,28.0,2.0E-7"
866,IPR001357,BRCT domain,SUPERFAMILY,SSF52113,\N,4,"6,112,313,414,","95,199,405,502,","2.62E-18,7.07E-20,9.42E-8,5.37E-15"
867,IPR024253,"Phosducin, thioredoxin-like domain",HMMPfam,PF02114,Phosducin,1,"82,","269,",3.80E-08
867,IPR012336,Thioredoxin-like fold,SUPERFAMILY,SSF52833,\N,1,"82,","286,",5.79E-27
868,IPR005033,YEATS,HMMPfam,PF03366,YEATS family,1,"30,","113,",6.40E-18
868,IPR016665,SAS complex subunit SAS5/transcription initiation factor TFIID subunit 14,PIRSF,PIRSF016551,\N,1,"1,","243,",230
868,IPR005033,YEATS,ProSiteProfiles,PS51037,YEATS domain profile.,1,"7,","116,",17.088
869,IPR000156,Ran binding domain,HMMPfam,PF00638,RanBP1 domain,1,"139,","260,",5.90E-50
869,IPR000156,Ran binding domain,ProSiteProfiles,PS50196,Ran binding domain type 1 profile.,1,"126,","263,",42.836
869,IPR000156,Ran binding domain,SMART,SM00160,Ran-binding domain,1,"127,","257,",1.50E-56
869,\N,\N,SUPERFAMILY,SSF50729,\N,1,"124,","263,",2.46E-47
870,IPR001810,F-box domain,HMMPfam,PF00646,F-box domain,1,"1,","44,",2.30E-07
870,IPR001810,F-box domain,ProSiteProfiles,PS50181,F-box domain profile.,1,"1,","47,",10.716
870,IPR001810,F-box domain,SMART,SM00256,A Receptor for Ubiquitination Targets,1,"6,","46,",1.50E-04
870,IPR009091,Regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II,SUPERFAMILY,SSF50985,\N,3,"74,138,405,","100,273,453,","1.11E-20,1.11E-20,1.11E-20"
870,IPR001810,F-box domain,SUPERFAMILY,SSF81383,\N,1,"3,","74,",8.37E-10
871,IPR000620,EamA domain,HMMPfam,PF00892,EamA-like transporter family,1,"227,","293,",6.50E-07
871,\N,\N,SUPERFAMILY,SSF103481,\N,1,"222,","295,",3.66E-10
872,IPR006086,XPG-I domain,HMMPfam,PF00867,XPG I-region,1,"142,","224,",8.10E-11
872,IPR022039,"Temperature dependent protein affecting M2 dsRNA replication, C-terminal",HMMPfam,PF12246,Temperature dependent protein affecting M2 dsRNA replication,1,"482,","717,",2.70E-52
872,IPR022040,"Temperature dependent protein affecting M2 dsRNA replication, N-terminal",HMMPfam,PF12247,Temperature dependent protein affecting M2 dsRNA replication,1,"309,","398,",2.00E-24
872,IPR006086,XPG-I domain,SMART,SM00484,Xeroderma pigmentosum G I-region,1,"140,","220,",0.0035
872,IPR029060,PIN domain-like,SUPERFAMILY,SSF88723,\N,1,"6,","195,",2.55E-27
873,IPR005123,Oxoglutarate/iron-dependent dioxygenase,HMMPfam,PF03171,2OG-Fe(II) oxygenase superfamily,1,"171,","287,",2.40E-12
873,IPR026992,Non-haem dioxygenase N-terminal domain,HMMPfam,PF14226,non-haem dioxygenase in morphine synthesis N-terminal,1,"13,","115,",2.00E-17
873,IPR005123,Oxoglutarate/iron-dependent dioxygenase,ProSiteProfiles,PS51471,Fe(2+) 2-oxoglutarate dioxygenase domain profile.,1,"163,","287,",10.008
873,\N,\N,SUPERFAMILY,SSF51197,\N,1,"7,","339,",1.17E-66
874,IPR002893,"Zinc finger, MYND-type",HMMPfam,PF01753,MYND finger,1,"572,","611,",2.00E-07
874,IPR002893,"Zinc finger, MYND-type",ProSiteProfiles,PS50865,Zinc finger MYND-type profile.,1,"570,","611,",12.605
874,\N,\N,SUPERFAMILY,SSF144232,\N,1,"573,","613,",3.49E-08
874,IPR016024,Armadillo-type fold,SUPERFAMILY,SSF48371,\N,3,"27,457,516,","121,475,560,","3.09E-6,3.09E-6,3.09E-6"
875,IPR006696,Protein of unknown function DUF423,HMMPfam,PF04241,Protein of unknown function (DUF423),1,"15,","101,",1.30E-24
876,IPR001680,WD40 repeat,HMMPfam,PF00400,"WD domain, G-beta repeat",7,"57,107,148,186,228,284,316,","94,136,181,224,266,310,351,","1.6E-7,1.8E-4,1.2E-6,1.2E-4,2.7E-8,0.0025,1.4E-6"
876,\N,\N,PIRSF,PIRSF002394,\N,1,"1,","353,",356
876,IPR001632,"G-protein, beta subunit",PRINTS,PR00319,Beta G protein (transducin) signature,4,"62,81,100,118,","78,95,115,135,","1.3E-32,1.3E-32,1.3E-32,1.3E-32"
876,IPR020472,G-protein beta WD-40 repeat,PRINTS,PR00320,G protein beta WD-40 repeat signature,3,"81,168,211,","95,182,225,","4.5E-7,4.5E-7,4.5E-7"
876,IPR019775,"WD40 repeat, conserved site",ProSitePatterns,PS00678,Trp-Asp (WD) repeats signature.,3,"81,168,297,","95,182,311,","-,-,-"
876,IPR001680,WD40 repeat,ProSiteProfiles,PS50082,Trp-Asp (WD) repeats profile.,6,"62,150,191,234,285,320,","103,190,233,275,319,353,","14.084,10.976,12.948,12.647,8.771,12.647"
876,IPR017986,WD40-repeat-containing domain,ProSiteProfiles,PS50294,Trp-Asp (WD) repeats circular profile.,1,"62,","353,",55.076
876,IPR001680,WD40 repeat,SMART,SM00320,WD40 repeats,7,"55,97,143,184,227,275,313,","94,136,181,224,266,310,352,","2.9E-8,0.0018,5.8E-6,7.6E-5,3.6E-8,0.073,5.7E-5"
876,IPR017986,WD40-repeat-containing domain,SUPERFAMILY,SSF50978,\N,1,"39,","351,",1.90E-78
