#transcriptId,proteinId,kogid,kogdefline,kogClass,kogGroup
5783,5783,KOG0638,4-hydroxyphenylpyruvate dioxygenase,Amino acid transport and metabolism ,METABOLISM
5793,5793,KOG1286,Amino acid transporters,Amino acid transport and metabolism ,METABOLISM
5844,5844,KOG4750,Serine O-acetyltransferase,Amino acid transport and metabolism ,METABOLISM
5890,5890,KOG0785,"Isocitrate dehydrogenase, alpha subunit",Amino acid transport and metabolism ,METABOLISM
5899,5899,KOG2368,Hydroxymethylglutaryl-CoA lyase,Amino acid transport and metabolism ,METABOLISM
5907,5907,KOG1549,Cysteine desulfurase NFS1,Amino acid transport and metabolism ,METABOLISM
5931,5931,KOG1448,Ribose-phosphate pyrophosphokinase,Amino acid transport and metabolism ,METABOLISM
5933,5933,KOG1223,Isochorismate synthase,Amino acid transport and metabolism ,METABOLISM
5998,5998,KOG2348,Urea transporter,Amino acid transport and metabolism ,METABOLISM
6060,6060,KOG1282,Serine carboxypeptidases (lysosomal cathepsin A),Amino acid transport and metabolism ,METABOLISM
6081,6081,KOG3923,D-aspartate oxidase,Amino acid transport and metabolism ,METABOLISM
6099,6099,KOG1289,Amino acid transporters,Amino acid transport and metabolism ,METABOLISM
6101,6101,KOG2275,Aminoacylase ACY1 and related metalloexopeptidases,Amino acid transport and metabolism ,METABOLISM
6168,6168,KOG2276,Metalloexopeptidases,Amino acid transport and metabolism ,METABOLISM
6169,6169,KOG1592,Asparaginase,Amino acid transport and metabolism ,METABOLISM
6203,6203,KOG0062,ATPase component of ABC transporters with duplicated ATPase domains/Translation elongation factor EF-3b,Amino acid transport and metabolism ,METABOLISM
6216,6216,KOG1286,Amino acid transporters,Amino acid transport and metabolism ,METABOLISM
6228,6228,KOG1709,Guanidinoacetate methyltransferase and related proteins,Amino acid transport and metabolism ,METABOLISM
6244,6244,KOG0628,Aromatic-L-amino-acid/L-histidine decarboxylase,Amino acid transport and metabolism ,METABOLISM
6269,6269,KOG1303,Amino acid transporters,Amino acid transport and metabolism ,METABOLISM
6313,6313,KOG0257,"Kynurenine aminotransferase, glutamine transaminase K",Amino acid transport and metabolism ,METABOLISM
6314,6314,KOG1237,H+/oligopeptide symporter,Amino acid transport and metabolism ,METABOLISM
6393,6393,KOG2414,Putative Xaa-Pro aminopeptidase,Amino acid transport and metabolism ,METABOLISM
6413,6413,KOG3124,Pyrroline-5-carboxylate reductase,Amino acid transport and metabolism ,METABOLISM
6447,6447,KOG1287,Amino acid transporters,Amino acid transport and metabolism ,METABOLISM
6458,6458,KOG2348,Urea transporter,Amino acid transport and metabolism ,METABOLISM
6482,6482,KOG0623,Glutamine amidotransferase/cyclase,Amino acid transport and metabolism ,METABOLISM
6590,6590,KOG1401,Acetylornithine aminotransferase,Amino acid transport and metabolism ,METABOLISM
6596,6596,KOG1395,Tryptophan synthase beta chain,Amino acid transport and metabolism ,METABOLISM
6615,6615,KOG0259,Tyrosine aminotransferase,Amino acid transport and metabolism ,METABOLISM
6621,6621,KOG1289,Amino acid transporters,Amino acid transport and metabolism ,METABOLISM
6647,6647,KOG0053,Cystathionine beta-lyases/cystathionine gamma-synthases,Amino acid transport and metabolism ,METABOLISM
6649,6649,KOG2276,Metalloexopeptidases,Amino acid transport and metabolism ,METABOLISM
6686,6686,KOG1282,Serine carboxypeptidases (lysosomal cathepsin A),Amino acid transport and metabolism ,METABOLISM
6687,6687,KOG2410,Gamma-glutamyltransferase,Amino acid transport and metabolism ,METABOLISM
6701,6701,KOG1251,Serine racemase,Amino acid transport and metabolism ,METABOLISM
6723,6723,KOG2348,Urea transporter,Amino acid transport and metabolism ,METABOLISM
6740,6740,KOG4165,Gamma-glutamyl phosphate reductase,Amino acid transport and metabolism ,METABOLISM
6744,6744,KOG1252,Cystathionine beta-synthase and related enzymes,Amino acid transport and metabolism ,METABOLISM
6874,6874,KOG2965,Arginase,Amino acid transport and metabolism ,METABOLISM
6878,6878,KOG1289,Amino acid transporters,Amino acid transport and metabolism ,METABOLISM
6897,6897,KOG0786,3-isopropylmalate dehydrogenase,Amino acid transport and metabolism ,METABOLISM
6917,6917,KOG0453,Aconitase/homoaconitase (aconitase superfamily),Amino acid transport and metabolism ,METABOLISM
6939,6939,KOG3715,LST7 amino acid permease Golgi transport protein,Amino acid transport and metabolism ,METABOLISM
6942,6942,KOG2467,Glycine/serine hydroxymethyltransferase,Amino acid transport and metabolism ,METABOLISM
6960,6960,KOG0629,Glutamate decarboxylase and related proteins,Amino acid transport and metabolism ,METABOLISM
6975,6975,KOG1939,Oxoprolinase,Amino acid transport and metabolism ,METABOLISM
7055,7055,KOG1237,H+/oligopeptide symporter,Amino acid transport and metabolism ,METABOLISM
7068,7068,KOG1184,Thiamine pyrophosphate-requiring enzyme,Amino acid transport and metabolism ,METABOLISM
7069,7069,KOG0068,"D-3-phosphoglycerate dehydrogenase, D-isomer-specific 2-hydroxy acid dehydrogenase superfamily",Amino acid transport and metabolism ,METABOLISM
7074,7074,KOG1185,Thiamine pyrophosphate-requiring enzyme,Amino acid transport and metabolism ,METABOLISM
7079,7079,KOG1304,Amino acid transporters,Amino acid transport and metabolism ,METABOLISM
7080,7080,KOG3007,Mu-crystallin,Amino acid transport and metabolism ,METABOLISM
7134,7134,KOG1441,Glucose-6-phosphate/phosphate and phosphoenolpyruvate/phosphate antiporter,Amino acid transport and metabolism ,METABOLISM
7142,7142,KOG3995,3-hydroxyanthranilate oxygenase HAAO,Amino acid transport and metabolism ,METABOLISM
7185,7185,KOG1282,Serine carboxypeptidases (lysosomal cathepsin A),Amino acid transport and metabolism ,METABOLISM
7204,7204,KOG2040,Glycine dehydrogenase (decarboxylating),Amino acid transport and metabolism ,METABOLISM
7243,7243,KOG1412,Aspartate aminotransferase/Glutamic oxaloacetic transaminase AAT2/GOT1,Amino acid transport and metabolism ,METABOLISM
7256,7256,KOG0454,3-isopropylmalate dehydratase (aconitase superfamily),Amino acid transport and metabolism ,METABOLISM
7261,7261,KOG0053,Cystathionine beta-lyases/cystathionine gamma-synthases,Amino acid transport and metabolism ,METABOLISM
7289,7289,KOG3216,Diamine acetyltransferase,Amino acid transport and metabolism ,METABOLISM
7319,7319,KOG0141,Isovaleryl-CoA dehydrogenase,Amino acid transport and metabolism ,METABOLISM
7332,7332,KOG0141,Isovaleryl-CoA dehydrogenase,Amino acid transport and metabolism ,METABOLISM
7370,7370,KOG1287,Amino acid transporters,Amino acid transport and metabolism ,METABOLISM
7386,7386,KOG1184,Thiamine pyrophosphate-requiring enzyme,Amino acid transport and metabolism ,METABOLISM
7423,7423,KOG0564,"5,10-methylenetetrahydrofolate reductase",Amino acid transport and metabolism ,METABOLISM
7438,7438,KOG1286,Amino acid transporters,Amino acid transport and metabolism ,METABOLISM
7475,7475,KOG1282,Serine carboxypeptidases (lysosomal cathepsin A),Amino acid transport and metabolism ,METABOLISM
7597,7597,KOG1282,Serine carboxypeptidases (lysosomal cathepsin A),Amino acid transport and metabolism ,METABOLISM
7683,7683,KOG1368,Threonine aldolase,Amino acid transport and metabolism ,METABOLISM
7690,7690,KOG1286,Amino acid transporters,Amino acid transport and metabolism ,METABOLISM
7691,7691,KOG1412,Aspartate aminotransferase/Glutamic oxaloacetic transaminase AAT2/GOT1,Amino acid transport and metabolism ,METABOLISM
7747,7747,KOG2348,Urea transporter,Amino acid transport and metabolism ,METABOLISM
7757,7757,KOG1939,Oxoprolinase,Amino acid transport and metabolism ,METABOLISM
7805,7805,KOG0138,Glutaryl-CoA dehydrogenase,Amino acid transport and metabolism ,METABOLISM
7867,7867,KOG1289,Amino acid transporters,Amino acid transport and metabolism ,METABOLISM
7895,7895,KOG0053,Cystathionine beta-lyases/cystathionine gamma-synthases,Amino acid transport and metabolism ,METABOLISM
7977,7977,KOG1047,Bifunctional leukotriene A4 hydrolase/aminopeptidase LTA4H,Amino acid transport and metabolism ,METABOLISM
7996,7996,KOG2348,Urea transporter,Amino acid transport and metabolism ,METABOLISM
8052,8052,KOG1237,H+/oligopeptide symporter,Amino acid transport and metabolism ,METABOLISM
8053,8053,KOG1237,H+/oligopeptide symporter,Amino acid transport and metabolism ,METABOLISM
8059,8059,KOG1430,C-3 sterol dehydrogenase/3-beta-hydroxysteroid dehydrogenase and related dehydrogenases,Amino acid transport and metabolism ,METABOLISM
8076,8076,KOG2575,Glucosyltransferase - Alg6p,Amino acid transport and metabolism ,METABOLISM
8079,8079,KOG2455,Delta-1-pyrroline-5-carboxylate dehydrogenase,Amino acid transport and metabolism ,METABOLISM
8080,8080,KOG1404,Alanine-glyoxylate aminotransferase AGT2,Amino acid transport and metabolism ,METABOLISM
8083,8083,KOG1939,Oxoprolinase,Amino acid transport and metabolism ,METABOLISM
8122,8122,KOG1286,Amino acid transporters,Amino acid transport and metabolism ,METABOLISM
8192,8192,KOG0683,Glutamine synthetase,Amino acid transport and metabolism ,METABOLISM
8304,8304,KOG1939,Oxoprolinase,Amino acid transport and metabolism ,METABOLISM
8305,8305,KOG2250,Glutamate/leucine/phenylalanine/valine dehydrogenases,Amino acid transport and metabolism ,METABOLISM
8347,8347,KOG2964,Arginase family protein,Amino acid transport and metabolism ,METABOLISM
8394,8394,KOG2964,Arginase family protein,Amino acid transport and metabolism ,METABOLISM
8455,8455,KOG2448,Dihydroxy-acid dehydratase,Amino acid transport and metabolism ,METABOLISM
8500,8500,KOG1411,Aspartate aminotransferase/Glutamic oxaloacetic transaminase AAT1/GOT2,Amino acid transport and metabolism ,METABOLISM
8540,8540,KOG1286,Amino acid transporters,Amino acid transport and metabolism ,METABOLISM
8565,8565,KOG1562,Spermidine synthase,Amino acid transport and metabolism ,METABOLISM
8589,8589,KOG0068,"D-3-phosphoglycerate dehydrogenase, D-isomer-specific 2-hydroxy acid dehydrogenase superfamily",Amino acid transport and metabolism ,METABOLISM
8600,8600,KOG0805,Carbon-nitrogen hydrolase,Amino acid transport and metabolism ,METABOLISM
8657,8657,KOG1401,Acetylornithine aminotransferase,Amino acid transport and metabolism ,METABOLISM
8685,8685,KOG0683,Glutamine synthetase,Amino acid transport and metabolism ,METABOLISM
8705,8705,KOG1289,Amino acid transporters,Amino acid transport and metabolism ,METABOLISM
8763,8763,KOG1481,Cysteine synthase,Amino acid transport and metabolism ,METABOLISM
8800,8800,KOG2380,Prephenate dehydrogenase (NADP+),Amino acid transport and metabolism ,METABOLISM
8809,8809,KOG1303,Amino acid transporters,Amino acid transport and metabolism ,METABOLISM
8810,8810,KOG2455,Delta-1-pyrroline-5-carboxylate dehydrogenase,Amino acid transport and metabolism ,METABOLISM
8812,8812,KOG3124,Pyrroline-5-carboxylate reductase,Amino acid transport and metabolism ,METABOLISM
8813,8813,KOG1412,Aspartate aminotransferase/Glutamic oxaloacetic transaminase AAT2/GOT1,Amino acid transport and metabolism ,METABOLISM
8816,8816,KOG0186,Proline oxidase,Amino acid transport and metabolism ,METABOLISM
8822,8822,KOG1287,Amino acid transporters,Amino acid transport and metabolism ,METABOLISM
8830,8830,KOG0628,Aromatic-L-amino-acid/L-histidine decarboxylase,Amino acid transport and metabolism ,METABOLISM
8831,8831,KOG0628,Aromatic-L-amino-acid/L-histidine decarboxylase,Amino acid transport and metabolism ,METABOLISM
8934,8934,KOG1250,Threonine/serine dehydratases,Amino acid transport and metabolism ,METABOLISM
8935,8935,KOG2367,Alpha-isopropylmalate synthase/homocitrate synthase,Amino acid transport and metabolism ,METABOLISM
8936,8936,KOG1383,Glutamate decarboxylase/sphingosine phosphate lyase,Amino acid transport and metabolism ,METABOLISM
8965,8965,KOG2263,Methionine synthase II (cobalamin-independent),Amino acid transport and metabolism ,METABOLISM
8977,8977,KOG0238,"3-Methylcrotonyl-CoA carboxylase, biotin-containing subunit/Propionyl-CoA carboxylase, alpha chain/Acetyl-CoA carboxylase, biotin carboxylase subunit",Amino acid transport and metabolism ,METABOLISM
8979,8979,KOG0540,"3-Methylcrotonyl-CoA carboxylase, non-biotin containing subunit/Acetyl-CoA carboxylase carboxyl transferase, subunit beta",Amino acid transport and metabolism ,METABOLISM
8980,8980,KOG2368,Hydroxymethylglutaryl-CoA lyase,Amino acid transport and metabolism ,METABOLISM
9022,9022,KOG0540,"3-Methylcrotonyl-CoA carboxylase, non-biotin containing subunit/Acetyl-CoA carboxylase carboxyl transferase, subunit beta",Amino acid transport and metabolism ,METABOLISM
9056,9056,KOG1185,Thiamine pyrophosphate-requiring enzyme,Amino acid transport and metabolism ,METABOLISM
9133,9133,KOG1289,Amino acid transporters,Amino acid transport and metabolism ,METABOLISM
9187,9187,KOG3007,Mu-crystallin,Amino acid transport and metabolism ,METABOLISM
9224,9224,KOG3145,Cystine transporter Cystinosin,Amino acid transport and metabolism ,METABOLISM
9237,9237,KOG1430,C-3 sterol dehydrogenase/3-beta-hydroxysteroid dehydrogenase and related dehydrogenases,Amino acid transport and metabolism ,METABOLISM
9250,9250,KOG1939,Oxoprolinase,Amino acid transport and metabolism ,METABOLISM
9299,9299,KOG0785,"Isocitrate dehydrogenase, alpha subunit",Amino acid transport and metabolism ,METABOLISM
9326,9326,KOG1448,Ribose-phosphate pyrophosphokinase,Amino acid transport and metabolism ,METABOLISM
9351,9351,KOG3023,Glutamate-cysteine ligase regulatory subunit,Amino acid transport and metabolism ,METABOLISM
9398,9398,KOG1441,Glucose-6-phosphate/phosphate and phosphoenolpyruvate/phosphate antiporter,Amino acid transport and metabolism ,METABOLISM
9457,9457,KOG1286,Amino acid transporters,Amino acid transport and metabolism ,METABOLISM
9470,9470,KOG0453,Aconitase/homoaconitase (aconitase superfamily),Amino acid transport and metabolism ,METABOLISM
9477,9477,KOG0540,"3-Methylcrotonyl-CoA carboxylase, non-biotin containing subunit/Acetyl-CoA carboxylase carboxyl transferase, subunit beta",Amino acid transport and metabolism ,METABOLISM
9501,9501,KOG4201,Anthranilate synthase component II,Amino acid transport and metabolism ,METABOLISM
9522,9522,KOG1282,Serine carboxypeptidases (lysosomal cathepsin A),Amino acid transport and metabolism ,METABOLISM
352,352,KOG2555,AICAR transformylase/IMP cyclohydrolase/methylglyoxal synthase,Nucleotide transport and metabolism ,METABOLISM
363,363,KOG3079,Uridylate kinase/adenylate kinase,Nucleotide transport and metabolism ,METABOLISM
506,506,KOG1018,Cytosine deaminase FCY1 and related enzymes,Nucleotide transport and metabolism ,METABOLISM
738,738,KOG2938,Predicted inosine-uridine preferring nucleoside hydrolase,Nucleotide transport and metabolism ,METABOLISM
891,891,KOG1567,"Ribonucleotide reductase, beta subunit",Nucleotide transport and metabolism ,METABOLISM
1066,1066,KOG2835,Phosphoribosylamidoimidazole-succinocarboxamide synthase,Nucleotide transport and metabolism ,METABOLISM
1068,1068,KOG0036,Predicted mitochondrial carrier protein,Nucleotide transport and metabolism ,METABOLISM
1141,1141,KOG4313,Thiamine pyrophosphokinase,Nucleotide transport and metabolism ,METABOLISM
1508,1508,KOG1385,Nucleoside phosphatase,Nucleotide transport and metabolism ,METABOLISM
1588,1588,KOG1018,Cytosine deaminase FCY1 and related enzymes,Nucleotide transport and metabolism ,METABOLISM
1785,1785,KOG3968,Atrazine chlorohydrolase/guanine deaminase,Nucleotide transport and metabolism ,METABOLISM
1852,1852,KOG2466,Uridine permease/thiamine transporter/allantoin transport,Nucleotide transport and metabolism ,METABOLISM
1905,1905,KOG1448,Ribose-phosphate pyrophosphokinase,Nucleotide transport and metabolism ,METABOLISM
2056,2056,KOG4145,Allantoicase,Nucleotide transport and metabolism ,METABOLISM
2135,2135,KOG0833,Cytidine deaminase,Nucleotide transport and metabolism ,METABOLISM
2321,2321,KOG1622,GMP synthase,Nucleotide transport and metabolism ,METABOLISM
2337,2337,KOG2702,Predicted panthothenate kinase/uridine kinase-related protein,Nucleotide transport and metabolism ,METABOLISM
2371,2371,KOG3008,Quinolinate phosphoribosyl transferase,Nucleotide transport and metabolism ,METABOLISM
2408,2408,KOG3327,Thymidylate kinase/adenylate kinase,Nucleotide transport and metabolism ,METABOLISM
2561,2561,KOG1018,Cytosine deaminase FCY1 and related enzymes,Nucleotide transport and metabolism ,METABOLISM
2711,2711,KOG3968,Atrazine chlorohydrolase/guanine deaminase,Nucleotide transport and metabolism ,METABOLISM
2991,2991,KOG1712,Adenine phosphoribosyl transferases,Nucleotide transport and metabolism ,METABOLISM
3152,3152,KOG1907,Phosphoribosylformylglycinamidine synthase,Nucleotide transport and metabolism ,METABOLISM
3177,3177,KOG1355,Adenylosuccinate synthase,Nucleotide transport and metabolism ,METABOLISM
3288,3288,KOG1386,Nucleoside phosphatase,Nucleotide transport and metabolism ,METABOLISM
3299,3299,KOG3179,Predicted glutamine synthetase,Nucleotide transport and metabolism ,METABOLISM
3531,3531,KOG0888,Nucleoside diphosphate kinase,Nucleotide transport and metabolism ,METABOLISM
3938,3938,KOG2938,Predicted inosine-uridine preferring nucleoside hydrolase,Nucleotide transport and metabolism ,METABOLISM
3951,3951,KOG1112,"Ribonucleotide reductase, alpha subunit",Nucleotide transport and metabolism ,METABOLISM
4003,4003,KOG1355,Adenylosuccinate synthase,Nucleotide transport and metabolism ,METABOLISM
4005,4005,KOG2702,Predicted panthothenate kinase/uridine kinase-related protein,Nucleotide transport and metabolism ,METABOLISM
4054,4054,KOG0707,Guanylate kinase,Nucleotide transport and metabolism ,METABOLISM
4125,4125,KOG1436,Dihydroorotate dehydrogenase,Nucleotide transport and metabolism ,METABOLISM
4126,4126,KOG1436,Dihydroorotate dehydrogenase,Nucleotide transport and metabolism ,METABOLISM
4538,4538,KOG2550,IMP dehydrogenase/GMP reductase,Nucleotide transport and metabolism ,METABOLISM
4557,4557,KOG2056,Equilibrative nucleoside transporter protein,Nucleotide transport and metabolism ,METABOLISM
4625,4625,KOG1097,Adenine deaminase/adenosine deaminase,Nucleotide transport and metabolism ,METABOLISM
4658,4658,KOG3747,Concentrative Na+-nucleoside cotransporter CNT1/CNT2,Nucleotide transport and metabolism ,METABOLISM
4769,4769,KOG2938,Predicted inosine-uridine preferring nucleoside hydrolase,Nucleotide transport and metabolism ,METABOLISM
4823,4823,KOG0237,Glycinamide ribonucleotide synthetase (GARS)/Aminoimidazole ribonucleotide synthetase (AIRS),Nucleotide transport and metabolism ,METABOLISM
5307,5307,KOG3079,Uridylate kinase/adenylate kinase,Nucleotide transport and metabolism ,METABOLISM
5375,5375,KOG4419,5' nucleotidase,Nucleotide transport and metabolism ,METABOLISM
5523,5523,KOG1528,Salt-sensitive 3'-phosphoadenosine-5'-phosphatase HAL2/SAL1,Nucleotide transport and metabolism ,METABOLISM
5755,5755,KOG3222,Inosine triphosphate pyrophosphatase,Nucleotide transport and metabolism ,METABOLISM
5756,5756,KOG3347,Predicted nucleotide kinase/nuclear protein involved oxidative stress response,Nucleotide transport and metabolism ,METABOLISM
5931,5931,KOG1448,Ribose-phosphate pyrophosphokinase,Nucleotide transport and metabolism ,METABOLISM
5938,5938,KOG2056,Equilibrative nucleoside transporter protein,Nucleotide transport and metabolism ,METABOLISM
6020,6020,KOG1528,Salt-sensitive 3'-phosphoadenosine-5'-phosphatase HAL2/SAL1,Nucleotide transport and metabolism ,METABOLISM
6134,6134,KOG1479,Nucleoside transporter,Nucleotide transport and metabolism ,METABOLISM
6164,6164,KOG1292,Xanthine/uracil transporters,Nucleotide transport and metabolism ,METABOLISM
6290,6290,KOG1800,Ferredoxin/adrenodoxin reductase,Nucleotide transport and metabolism ,METABOLISM
6321,6321,KOG0430,Xanthine dehydrogenase,Nucleotide transport and metabolism ,METABOLISM
6327,6327,KOG3308,Uncharacterized protein of the uridine kinase family,Nucleotide transport and metabolism ,METABOLISM
6340,6340,KOG2700,Adenylosuccinate lyase,Nucleotide transport and metabolism ,METABOLISM
6727,6727,KOG2584,Dihydroorotase and related enzymes,Nucleotide transport and metabolism ,METABOLISM
6958,6958,KOG3968,Atrazine chlorohydrolase/guanine deaminase,Nucleotide transport and metabolism ,METABOLISM
6959,6959,KOG2466,Uridine permease/thiamine transporter/allantoin transport,Nucleotide transport and metabolism ,METABOLISM
6985,6985,KOG2902,Dihydroorotase,Nucleotide transport and metabolism ,METABOLISM
7096,7096,KOG1292,Xanthine/uracil transporters,Nucleotide transport and metabolism ,METABOLISM
7168,7168,KOG1436,Dihydroorotate dehydrogenase,Nucleotide transport and metabolism ,METABOLISM
7299,7299,KOG3379,Diadenosine polyphosphate hydrolase and related proteins of the histidine triad (HIT) family,Nucleotide transport and metabolism ,METABOLISM
7333,7333,KOG1018,Cytosine deaminase FCY1 and related enzymes,Nucleotide transport and metabolism ,METABOLISM
7341,7341,KOG1018,Cytosine deaminase FCY1 and related enzymes,Nucleotide transport and metabolism ,METABOLISM
7409,7409,KOG4419,5' nucleotidase,Nucleotide transport and metabolism ,METABOLISM
7424,7424,KOG1377,Uridine 5'- monophosphate synthase/orotate phosphoribosyltransferase,Nucleotide transport and metabolism ,METABOLISM
7468,7468,KOG0572,Glutamine phosphoribosylpyrophosphate amidotransferase,Nucleotide transport and metabolism ,METABOLISM
7709,7709,KOG1377,Uridine 5'- monophosphate synthase/orotate phosphoribosyltransferase,Nucleotide transport and metabolism ,METABOLISM
7855,7855,KOG1096,Adenosine monophosphate deaminase,Nucleotide transport and metabolism ,METABOLISM
7922,7922,KOG2466,Uridine permease/thiamine transporter/allantoin transport,Nucleotide transport and metabolism ,METABOLISM
8164,8164,KOG3127,Deoxycytidylate deaminase,Nucleotide transport and metabolism ,METABOLISM
8218,8218,KOG0673,Thymidylate synthase,Nucleotide transport and metabolism ,METABOLISM
8295,8295,KOG2835,Phosphoribosylamidoimidazole-succinocarboxamide synthase,Nucleotide transport and metabolism ,METABOLISM
8308,8308,KOG3985,Methylthioadenosine phosphorylase MTAP,Nucleotide transport and metabolism ,METABOLISM
8415,8415,KOG3721,Mitochondrial endonuclease,Nucleotide transport and metabolism ,METABOLISM
8490,8490,KOG1018,Cytosine deaminase FCY1 and related enzymes,Nucleotide transport and metabolism ,METABOLISM
8527,8527,KOG2387,CTP synthase (UTP-ammonia lyase),Nucleotide transport and metabolism ,METABOLISM
8632,8632,KOG1097,Adenine deaminase/adenosine deaminase,Nucleotide transport and metabolism ,METABOLISM
8755,8755,KOG3078,Adenylate kinase,Nucleotide transport and metabolism ,METABOLISM
9102,9102,KOG2835,Phosphoribosylamidoimidazole-succinocarboxamide synthase,Nucleotide transport and metabolism ,METABOLISM
9232,9232,KOG3370,dUTPase,Nucleotide transport and metabolism ,METABOLISM
9248,9248,KOG2466,Uridine permease/thiamine transporter/allantoin transport,Nucleotide transport and metabolism ,METABOLISM
9326,9326,KOG1448,Ribose-phosphate pyrophosphokinase,Nucleotide transport and metabolism ,METABOLISM
9390,9390,KOG2700,Adenylosuccinate lyase,Nucleotide transport and metabolism ,METABOLISM
9511,9511,KOG3078,Adenylate kinase,Nucleotide transport and metabolism ,METABOLISM
5,5,KOG2504,Monocarboxylate transporter,Carbohydrate transport and metabolism ,METABOLISM
55,55,KOG2533,Permease of the major facilitator superfamily,Carbohydrate transport and metabolism ,METABOLISM
58,58,KOG2323,Pyruvate kinase,Carbohydrate transport and metabolism ,METABOLISM
72,72,KOG3625,Alpha amylase,Carbohydrate transport and metabolism ,METABOLISM
107,107,KOG4135,Predicted phosphoglucosamine acetyltransferase,Carbohydrate transport and metabolism ,METABOLISM
124,124,KOG2431,"1, 2-alpha-mannosidase",Carbohydrate transport and metabolism ,METABOLISM
171,171,KOG2533,Permease of the major facilitator superfamily,Carbohydrate transport and metabolism ,METABOLISM
184,184,KOG3076,5'-phosphoribosylglycinamide formyltransferase,Carbohydrate transport and metabolism ,METABOLISM
270,270,KOG3893,Mannosyltransferase,Carbohydrate transport and metabolism ,METABOLISM
303,303,KOG1050,Trehalose-6-phosphate synthase component TPS1 and related subunits,Carbohydrate transport and metabolism ,METABOLISM
373,373,KOG1594,Uncharacterized enzymes related to aldose 1-epimerase,Carbohydrate transport and metabolism ,METABOLISM
434,434,KOG0569,Permease of the major facilitator superfamily,Carbohydrate transport and metabolism ,METABOLISM
485,485,KOG2440,Pyrophosphate-dependent phosphofructo-1-kinase,Carbohydrate transport and metabolism ,METABOLISM
538,538,KOG2366,Alpha-D-galactosidase (melibiase),Carbohydrate transport and metabolism ,METABOLISM
589,589,KOG2670,Enolase,Carbohydrate transport and metabolism ,METABOLISM
592,592,KOG2504,Monocarboxylate transporter,Carbohydrate transport and metabolism ,METABOLISM
631,631,KOG2533,Permease of the major facilitator superfamily,Carbohydrate transport and metabolism ,METABOLISM
728,728,KOG2855,Ribokinase,Carbohydrate transport and metabolism ,METABOLISM
757,757,KOG0626,"Beta-glucosidase, lactase phlorizinhydrolase, and related proteins",Carbohydrate transport and metabolism ,METABOLISM
758,758,KOG0637,Sucrose transporter and related proteins,Carbohydrate transport and metabolism ,METABOLISM
804,804,KOG2772,Transaldolase,Carbohydrate transport and metabolism ,METABOLISM
811,811,KOG2426,Dihydroxyacetone kinase/glycerone kinase,Carbohydrate transport and metabolism ,METABOLISM
857,857,KOG4472,"Glycolipid 2-alpha-mannosyltransferase (alpha-1,2-mannosyltransferase)",Carbohydrate transport and metabolism ,METABOLISM
964,964,KOG2741,Dimeric dihydrodiol dehydrogenase,Carbohydrate transport and metabolism ,METABOLISM
1060,1060,KOG0372,"Serine/threonine specific protein phosphatase involved in glycogen accumulation, PP2A-related",Carbohydrate transport and metabolism ,METABOLISM
1076,1076,KOG1643,Triosephosphate isomerase,Carbohydrate transport and metabolism ,METABOLISM
1098,1098,KOG2533,Permease of the major facilitator superfamily,Carbohydrate transport and metabolism ,METABOLISM
1118,1118,KOG0224,Aquaporin (major intrinsic protein family),Carbohydrate transport and metabolism ,METABOLISM
1138,1138,KOG2533,Permease of the major facilitator superfamily,Carbohydrate transport and metabolism ,METABOLISM
1153,1153,KOG3075,Ribose 5-phosphate isomerase,Carbohydrate transport and metabolism ,METABOLISM
1160,1160,KOG2533,Permease of the major facilitator superfamily,Carbohydrate transport and metabolism ,METABOLISM
1296,1296,KOG0657,Glyceraldehyde 3-phosphate dehydrogenase,Carbohydrate transport and metabolism ,METABOLISM
1348,1348,KOG2178,Predicted sugar kinase,Carbohydrate transport and metabolism ,METABOLISM
1373,1373,KOG0372,"Serine/threonine specific protein phosphatase involved in glycogen accumulation, PP2A-related",Carbohydrate transport and metabolism ,METABOLISM
1455,1455,KOG4472,"Glycolipid 2-alpha-mannosyltransferase (alpha-1,2-mannosyltransferase)",Carbohydrate transport and metabolism ,METABOLISM
1462,1462,KOG3221,Glycolipid transfer protein,Carbohydrate transport and metabolism ,METABOLISM
1463,1463,KOG3221,Glycolipid transfer protein,Carbohydrate transport and metabolism ,METABOLISM
1464,1464,KOG3221,Glycolipid transfer protein,Carbohydrate transport and metabolism ,METABOLISM
1465,1465,KOG3221,Glycolipid transfer protein,Carbohydrate transport and metabolism ,METABOLISM
1494,1494,KOG0235,Phosphoglycerate mutase,Carbohydrate transport and metabolism ,METABOLISM
1522,1522,KOG0471,Alpha-amylase,Carbohydrate transport and metabolism ,METABOLISM
1547,1547,KOG2944,Glyoxalase,Carbohydrate transport and metabolism ,METABOLISM
1562,1562,KOG0228,Beta-fructofuranosidase (invertase),Carbohydrate transport and metabolism ,METABOLISM
1563,1563,KOG2533,Permease of the major facilitator superfamily,Carbohydrate transport and metabolism ,METABOLISM
1605,1605,KOG4157,"beta-1,6-N-acetylglucosaminyltransferase, contains WSC domain",Carbohydrate transport and metabolism ,METABOLISM
1606,1606,KOG4157,"beta-1,6-N-acetylglucosaminyltransferase, contains WSC domain",Carbohydrate transport and metabolism ,METABOLISM
1659,1659,KOG0235,Phosphoglycerate mutase,Carbohydrate transport and metabolism ,METABOLISM
1685,1685,KOG2024,Beta-Glucuronidase GUSB (glycosylhydrolase superfamily 2),Carbohydrate transport and metabolism ,METABOLISM
