#proteinId,ecNum,definition,catalyticActivity,cofactors,associatedDiseases,pathway,pathway_class,pathway_type
6,4.4.1.14,1-aminocyclopropane-1-carboxylate synthase.,S-adenosyl-L-methionine = 1-aminocyclopropane-1-carboxylate + methylthioadenosine.,Pyridoxal-phosphate.,\N,Propanoate metabolism,Carbohydrate Metabolism,METABOLIC
1564,3.5.1.4,Amidase.,A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).,\N,\N,Cyanoamino acid metabolism,Metabolism of Other Amino Acids,METABOLIC
1564,3.5.1.4,Amidase.,A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).,\N,\N,Phenylalanine metabolism,Amino Acid Metabolism,METABOLIC
1564,3.5.1.4,Amidase.,A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).,\N,\N,Arginine and proline metabolism,Amino Acid Metabolism,METABOLIC
1564,3.5.1.4,Amidase.,A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).,\N,\N,Styrene degradation,Biodegradation of Xenobiotics,METABOLIC
1565,1.14.-.-,"Acting on paired donors, with incorporation or reduction of",\N,\N,\N,gamma-Hexachlorocyclohexane degradation,Biodegradation of Xenobiotics,METABOLIC
1565,1.14.-.-,"Acting on paired donors, with incorporation or reduction of",\N,\N,\N,Ascorbate and aldarate metabolism,Carbohydrate Metabolism,METABOLIC
1565,1.14.-.-,"Acting on paired donors, with incorporation or reduction of",\N,\N,\N,"Flavonoids, stilbene and lignin biosynthesis",Biosynthesis of Secondary Metabolites,METABOLIC
1565,1.14.-.-,"Acting on paired donors, with incorporation or reduction of",\N,\N,\N,Fluorene degradation,Biodegradation of Xenobiotics,METABOLIC
1566,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Bile acid biosynthesis,Lipid Metabolism,METABOLIC
1566,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Vitamin B6 metabolism,Metabolism of Cofactors and Vitamins,METABOLIC
1566,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,"Glycine, serine and threonine metabolism",Amino Acid Metabolism,METABOLIC
1566,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Butanoate metabolism,Carbohydrate Metabolism,METABOLIC
1566,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Fructose and mannose metabolism,Carbohydrate Metabolism,METABOLIC
1566,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Galactose metabolism,Carbohydrate Metabolism,METABOLIC
1566,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Lysine degradation,Amino Acid Metabolism,METABOLIC
1566,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Nucleotide sugars metabolism,Nucleotide Metabolism,METABOLIC
1566,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Ascorbate and aldarate metabolism,Carbohydrate Metabolism,METABOLIC
1566,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Tetrachloroethene degradation,Biodegradation of Xenobiotics,METABOLIC
1566,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Benzoate degradation via CoA ligation,Biodegradation of Xenobiotics,METABOLIC
1566,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Glycerolipid metabolism,Metabolism of Complex Lipids,METABOLIC
1573,3.1.4.11,"1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase.","1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate + H(2)O = D-myo- inositol 1,4,5-trisphosphate + diacylglycerol.",\N,\N,Inositol phosphate metabolism,Metabolism of Complex Lipids,METABOLIC
1576,1.6.5.5,NADPH:quinone reductase.,NADPH + quinone = NADP(+) + semiquinone.,Zinc.,\N,\N,\N,\N
1578,6.3.2.19,Ubiquitin--protein ligase.,ATP + ubiquitin + protein lysine = AMP + diphosphate + protein N-ubiquityllysine.,\N,\N,\N,\N,\N
1584,1.8.3.1,Sulfite oxidase.,Sulfite + O(2) + H(2)O = sulfate + H(2)O(2).,Heme; Molybdenum.,Sulfite oxidase deficiency; MIM:272300.,Sulfur metabolism,Energy Metabolism,METABOLIC
1586,3.1.-.-,Acting on ester bonds.,\N,\N,\N,\N,\N,\N
1588,5.4.99.-,Transferring other groups.,\N,\N,\N,\N,\N,\N
1589,6.2.1.3,Long-chain-fatty-acid--CoA ligase.,ATP + a long-chain carboxylic acid + CoA = AMP + diphosphate + an acyl-CoA.,\N,\N,Fatty acid metabolism,Lipid Metabolism,METABOLIC
1591,3.2.1.58,"Glucan 1,3-beta-glucosidase.","Successive hydrolysis of beta-D-glucose units from the non-reducing ends of 1,3-beta-D-glucans, releasing alpha-glucose.",\N,\N,Starch and sucrose metabolism,Metabolism of Complex Carbohydrates,METABOLIC
1599,4.2.1.24,Porphobilinogen synthase.,2 5-aminolevulinate = porphobilinogen + 2 H(2)O.,Zinc.,Susceptibility to lead poisoning; MIM:125270. Acute hepatic porphyria; MIM:125270.,Porphyrin and chlorophyll metabolism,Metabolism of Cofactors and Vitamins,METABOLIC
1625,1.10.3.3,L-ascorbate oxidase.,2 L-ascorbate + O(2) = 2 dehydroascorbate + 2 H(2)O.,Copper.,\N,Ascorbate and aldarate metabolism,Carbohydrate Metabolism,METABOLIC
1627,3.4.14.9,Tripeptidyl-peptidase I.,Release of an N-terminal tripeptide from a polypeptide.,\N,\N,\N,\N,\N
1633,3.1.1.-,Carboxylic ester hydrolases.,\N,\N,\N,"2,4-Dichlorobenzoate degradation",Biodegradation of Xenobiotics,METABOLIC
1633,3.1.1.-,Carboxylic ester hydrolases.,\N,\N,\N,Pentose and glucuronate interconversions,Carbohydrate Metabolism,METABOLIC
1633,3.1.1.-,Carboxylic ester hydrolases.,\N,\N,\N,Butanoate metabolism,Carbohydrate Metabolism,METABOLIC
1643,4.1.1.1,Pyruvate decarboxylase.,A 2-oxo acid = an aldehyde + CO(2).,Thiamine pyrophosphate.,\N,Glycolysis / Gluconeogenesis,Carbohydrate Metabolism,METABOLIC
1657,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Bile acid biosynthesis,Lipid Metabolism,METABOLIC
1657,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Vitamin B6 metabolism,Metabolism of Cofactors and Vitamins,METABOLIC
1657,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,"Glycine, serine and threonine metabolism",Amino Acid Metabolism,METABOLIC
1657,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Butanoate metabolism,Carbohydrate Metabolism,METABOLIC
1657,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Fructose and mannose metabolism,Carbohydrate Metabolism,METABOLIC
1657,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Galactose metabolism,Carbohydrate Metabolism,METABOLIC
1657,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Lysine degradation,Amino Acid Metabolism,METABOLIC
1657,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Nucleotide sugars metabolism,Nucleotide Metabolism,METABOLIC
1657,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Ascorbate and aldarate metabolism,Carbohydrate Metabolism,METABOLIC
1657,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Tetrachloroethene degradation,Biodegradation of Xenobiotics,METABOLIC
1657,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Benzoate degradation via CoA ligation,Biodegradation of Xenobiotics,METABOLIC
1657,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Glycerolipid metabolism,Metabolism of Complex Lipids,METABOLIC
1659,3.1.3.46,"Fructose-2,6-bisphosphate 2-phosphatase.","D-fructose 2,6-bisphosphate + H(2)O = D-fructose 6-phosphate + phosphate.",\N,\N,Fructose and mannose metabolism,Carbohydrate Metabolism,METABOLIC
1665,3.1.4.-,Phosphoric diester hydrolases.,\N,\N,\N,Aminosugars metabolism,Metabolism of Complex Carbohydrates,METABOLIC
1683,2.1.1.43,Histone-lysine N-methyltransferase.,S-adenosyl-L-methionine + histone L-lysine = S-adenosyl-L-homocysteine + histone N6-methyl-L-lysine.,\N,\N,Lysine degradation,Amino Acid Metabolism,METABOLIC
1685,3.2.1.23,Beta-galactosidase.,"Hydrolysis of terminal, non-reducing beta-D-galactose residues in beta-D-galactosides.",\N,"Gangliosidosis, generalized GM1; MIM:230500. Mucopolysaccharidosis IVB; MIM:253010.",Glycosaminoglycan degradation,Metabolism of Complex Carbohydrates,METABOLIC
1685,3.2.1.23,Beta-galactosidase.,"Hydrolysis of terminal, non-reducing beta-D-galactose residues in beta-D-galactosides.",\N,"Gangliosidosis, generalized GM1; MIM:230500. Mucopolysaccharidosis IVB; MIM:253010.",Galactose metabolism,Carbohydrate Metabolism,METABOLIC
1685,3.2.1.23,Beta-galactosidase.,"Hydrolysis of terminal, non-reducing beta-D-galactose residues in beta-D-galactosides.",\N,"Gangliosidosis, generalized GM1; MIM:230500. Mucopolysaccharidosis IVB; MIM:253010.",N-Glycan degradation,Metabolism of Complex Carbohydrates,METABOLIC
1685,3.2.1.23,Beta-galactosidase.,"Hydrolysis of terminal, non-reducing beta-D-galactose residues in beta-D-galactosides.",\N,"Gangliosidosis, generalized GM1; MIM:230500. Mucopolysaccharidosis IVB; MIM:253010.",Glycerolipid metabolism,Metabolism of Complex Lipids,METABOLIC
1685,3.2.1.23,Beta-galactosidase.,"Hydrolysis of terminal, non-reducing beta-D-galactose residues in beta-D-galactosides.",\N,"Gangliosidosis, generalized GM1; MIM:230500. Mucopolysaccharidosis IVB; MIM:253010.",Sphingoglycolipid metabolism,Metabolism of Complex Lipids,METABOLIC
1686,3.2.1.21,Beta-glucosidase.,"Hydrolysis of terminal, non-reducing beta-D-glucose residues with release of beta-D-glucose.",\N,\N,Starch and sucrose metabolism,Metabolism of Complex Carbohydrates,METABOLIC
1686,3.2.1.21,Beta-glucosidase.,"Hydrolysis of terminal, non-reducing beta-D-glucose residues with release of beta-D-glucose.",\N,\N,Cyanoamino acid metabolism,Metabolism of Other Amino Acids,METABOLIC
1686,3.2.1.21,Beta-glucosidase.,"Hydrolysis of terminal, non-reducing beta-D-glucose residues with release of beta-D-glucose.",\N,\N,"Flavonoids, stilbene and lignin biosynthesis",Biosynthesis of Secondary Metabolites,METABOLIC
1692,1.1.1.125,2-deoxy-D-gluconate 3-dehydrogenase.,2-deoxy-D-gluconate + NAD(+) = 3-dehydro-2-deoxy-D-gluconate + NADH.,\N,\N,Pentose and glucuronate interconversions,Carbohydrate Metabolism,METABOLIC
1694,6.3.2.19,Ubiquitin--protein ligase.,ATP + ubiquitin + protein lysine = AMP + diphosphate + protein N-ubiquityllysine.,\N,\N,\N,\N,\N
1695,3.1.27.3,Ribonuclease T1.,"Two-stage endonucleolytic cleavage to 3'-phosphomononucleotides and 3'-phosphooligonucleotides ending in G-P with 2',3'-cyclic phosphate intermediates.",\N,\N,\N,\N,\N
1698,2.1.1.98,Diphthine synthase.,S-adenosyl-L-methionine + 2-(3-carboxy-3-aminopropyl)-L-histidine = S-adenosyl-L-homocysteine + 2-[3-carboxy-3-(methylammonio)propyl]-L- histidine.,\N,\N,\N,\N,\N
1705,6.3.2.19,Ubiquitin--protein ligase.,ATP + ubiquitin + protein lysine = AMP + diphosphate + protein N-ubiquityllysine.,\N,\N,\N,\N,\N
1711,1.5.5.1,Electron-transferring-flavoprotein dehydrogenase.,Reduced ETF + ubiquinone = ETF + ubiquinol.,Iron-sulfur; FAD.,\N,\N,\N,\N
1714,2.1.1.-,Methyltransferases.,\N,\N,\N,Androgen and estrogen metabolism,Lipid Metabolism,METABOLIC
1714,2.1.1.-,Methyltransferases.,\N,\N,\N,Aminophosphonate metabolism,Metabolism of Other Amino Acids,METABOLIC
1714,2.1.1.-,Methyltransferases.,\N,\N,\N,Porphyrin and chlorophyll metabolism,Metabolism of Cofactors and Vitamins,METABOLIC
1714,2.1.1.-,Methyltransferases.,\N,\N,\N,Ubiquinone biosynthesis,Metabolism of Cofactors and Vitamins,METABOLIC
1714,2.1.1.-,Methyltransferases.,\N,\N,\N,Histidine metabolism,Amino Acid Metabolism,METABOLIC
1714,2.1.1.-,Methyltransferases.,\N,\N,\N,Selenoamino acid metabolism,Metabolism of Other Amino Acids,METABOLIC
1714,2.1.1.-,Methyltransferases.,\N,\N,\N,Tryptophan metabolism,Amino Acid Metabolism,METABOLIC
1714,2.1.1.-,Methyltransferases.,\N,\N,\N,Tyrosine metabolism,Amino Acid Metabolism,METABOLIC
1718,3.6.3.29,Molybdate-transporting ATPase.,ATP + H(2)O + molybdate(Out) = ADP + phosphate + molybdate(In).,\N,\N,\N,\N,\N
1719,3.6.3.29,Molybdate-transporting ATPase.,ATP + H(2)O + molybdate(Out) = ADP + phosphate + molybdate(In).,\N,\N,\N,\N,\N
1731,6.1.1.5,Isoleucine--tRNA ligase.,ATP + L-isoleucine + tRNA(Ile) = AMP + diphosphate + L-isoleucyl- tRNA(Ile).,\N,\N,"Valine, leucine and isoleucine biosynthesis",Amino Acid Metabolism,METABOLIC
1731,6.1.1.5,Isoleucine--tRNA ligase.,ATP + L-isoleucine + tRNA(Ile) = AMP + diphosphate + L-isoleucyl- tRNA(Ile).,\N,\N,  Aminoacyl-tRNA biosynthesis,TRANSLATION,REGULATORY
1732,6.1.1.11,Serine--tRNA ligase.,ATP + L-serine + tRNA(Ser) = AMP + diphosphate + L-seryl-tRNA(Ser).,\N,\N,  Aminoacyl-tRNA biosynthesis,TRANSLATION,REGULATORY
1732,6.1.1.11,Serine--tRNA ligase.,ATP + L-serine + tRNA(Ser) = AMP + diphosphate + L-seryl-tRNA(Ser).,\N,\N,"Glycine, serine and threonine metabolism",Amino Acid Metabolism,METABOLIC
1738,2.8.3.13,Succinate-hydroxymethylglutarate CoA-transferase.,Succinyl-CoA + (S)-3-hydroxy-3-methylglutarate = succinate + 3-hydroxy-3-methylglutaryl-CoA.,\N,\N,\N,\N,\N
1739,2.5.1.9,Riboflavin synthase.,"2 6,7-dimethyl-8-(1-D-ribityl)lumazine = riboflavin + 4-(1-D- ribitylamino)-5-amino-2,6-dihydroxypyrimidine.",Flavoprotein.,\N,Riboflavin metabolism,Metabolism of Cofactors and Vitamins,METABOLIC
1740,1.14.13.1,Salicylate 1-monooxygenase.,Salicylate + NADH + O(2) = catechol + NAD(+) + H(2)O + CO(2).,FAD.,\N,Fluorene degradation,Biodegradation of Xenobiotics,METABOLIC
1740,1.14.13.1,Salicylate 1-monooxygenase.,Salicylate + NADH + O(2) = catechol + NAD(+) + H(2)O + CO(2).,FAD.,\N,Nitorobenzene degradation,Biodegradation of Xenobiotics,METABOLIC
1746,5.1.3.6,UDP-glucuronate 4-epimerase.,UDP-D-glucuronate = UDP-D-galacturonate.,\N,\N,Nucleotide sugars metabolism,Nucleotide Metabolism,METABOLIC
1746,5.1.3.6,UDP-glucuronate 4-epimerase.,UDP-D-glucuronate = UDP-D-galacturonate.,\N,\N,Starch and sucrose metabolism,Metabolism of Complex Carbohydrates,METABOLIC
1748,3.1.13.-,Exoribonucleases producing 5'-phosphomonoesters.,\N,\N,\N,\N,\N,\N
1758,1.14.13.9,Kynurenine 3-monooxygenase.,L-kynurenine + NADPH + O(2) = 3-hydroxy-L-kynurenine + NADP(+) + H(2)O.,FAD.,\N,Tryptophan metabolism,Amino Acid Metabolism,METABOLIC
1761,2.4.2.30,NAD(+) ADP-ribosyltransferase.,NAD(+) + {ADP-D-ribosyl}(N)-acceptor = nicotinamide + {ADP-D-ribosyl}(N+1)-acceptor.,\N,\N,\N,\N,\N
1765,3.1.1.-,Carboxylic ester hydrolases.,\N,\N,\N,"2,4-Dichlorobenzoate degradation",Biodegradation of Xenobiotics,METABOLIC
1765,3.1.1.-,Carboxylic ester hydrolases.,\N,\N,\N,Pentose and glucuronate interconversions,Carbohydrate Metabolism,METABOLIC
1765,3.1.1.-,Carboxylic ester hydrolases.,\N,\N,\N,Butanoate metabolism,Carbohydrate Metabolism,METABOLIC
1767,1.6.1.2,NAD(P)(+) transhydrogenase (AB-specific).,NADPH + NAD(+) = NADP(+) + NADH.,\N,\N,Nicotinate and nicotinamide metabolism,Metabolism of Cofactors and Vitamins,METABOLIC
1771,1.1.1.100,3-oxoacyl-[acyl-carrier protein] reductase.,(3R)-3-hydroxyacyl-[acyl-carrier protein] + NADP(+) = 3-oxoacyl- [acyl-carrier protein] + NADPH.,\N,\N,Fatty acid biosynthesis (path 1),Lipid Metabolism,METABOLIC
1781,2.7.7.13,Mannose-1-phosphate guanylyltransferase.,GTP + alpha-D-mannose 1-phosphate = diphosphate + GDP-mannose.,\N,\N,Fructose and mannose metabolism,Carbohydrate Metabolism,METABOLIC
1785,3.5.4.3,Guanine deaminase.,Guanine + H(2)O = xanthine + NH(3).,\N,\N,Purine metabolism,Nucleotide Metabolism,METABOLIC
1793,2.7.6.2,Thiamine pyrophosphokinase.,ATP + thiamine = AMP + thiamine diphosphate.,\N,\N,Thiamine metabolism,Metabolism of Cofactors and Vitamins,METABOLIC
1804,2.1.1.63,Methylated-DNA--[protein]-cysteine S-methyltransferase.,DNA (containing 6-O-methylguanine) + [protein]-L-cysteine = DNA (without 6-O-methylguanine) + protein S-methyl-L-cysteine.,\N,\N,\N,\N,\N
1806,6.3.2.2,Glutamate--cysteine ligase.,ATP + L-glutamate + L-cysteine = ADP + phosphate + gamma-L- glutamyl-L-cysteine.,\N,Hemolytic anemia due to gamma-glutamylcysteine synthetase; MIM:230450.,Glutamate metabolism,Amino Acid Metabolism,METABOLIC
1806,6.3.2.2,Glutamate--cysteine ligase.,ATP + L-glutamate + L-cysteine = ADP + phosphate + gamma-L- glutamyl-L-cysteine.,\N,Hemolytic anemia due to gamma-glutamylcysteine synthetase; MIM:230450.,Glutathione metabolism,Metabolism of Other Amino Acids,METABOLIC
1811,2.4.1.123,Inositol 1-alpha-galactosyltransferase.,UDP-galactose + myo-inositol = UDP + 1-O-alpha-D-galactosyl-D-myo- inositol.,\N,\N,Galactose metabolism,Carbohydrate Metabolism,METABOLIC
1814,2.7.1.23,NAD(+) kinase.,ATP + NAD(+) = ADP + NADP(+).,\N,\N,Nicotinate and nicotinamide metabolism,Metabolism of Cofactors and Vitamins,METABOLIC
1822,1.4.3.-,With oxygen as acceptor.,\N,\N,\N,\N,\N,\N
1827,2.7.-.-,Transferring phosphorous-containing groups.,\N,\N,\N,\N,\N,\N
1830,1.1.1.22,UDP-glucose 6-dehydrogenase.,UDP-glucose + 2 NAD(+) + H(2)O = UDP-glucuronate + 2 NADH.,\N,\N,Starch and sucrose metabolism,Metabolism of Complex Carbohydrates,METABOLIC
1830,1.1.1.22,UDP-glucose 6-dehydrogenase.,UDP-glucose + 2 NAD(+) + H(2)O = UDP-glucuronate + 2 NADH.,\N,\N,Pentose and glucuronate interconversions,Carbohydrate Metabolism,METABOLIC
1830,1.1.1.22,UDP-glucose 6-dehydrogenase.,UDP-glucose + 2 NAD(+) + H(2)O = UDP-glucuronate + 2 NADH.,\N,\N,Nucleotide sugars metabolism,Nucleotide Metabolism,METABOLIC
1831,2.4.1.16,Chitin synthase.,"UDP-N-acetyl-D-glucosamine + {(1,4)-(N-acetyl-beta-D-glucosaminyl)}(N) = UDP + {(1,4)-(N-acetyl-beta-D-glucosaminyl)}(N+1).",\N,\N,Aminosugars metabolism,Metabolism of Complex Carbohydrates,METABOLIC
1832,6.3.2.19,Ubiquitin--protein ligase.,ATP + ubiquitin + protein lysine = AMP + diphosphate + protein N-ubiquityllysine.,\N,\N,\N,\N,\N
1833,4.2.99.18,DNA-(apurinic or apyrimidinic site) lyase.,"The C-O-P bond 3' to the apurinic or apyrimidinic site in DNA is broken by a beta-elimination reaction, leaving a 3'-terminal unsaturated sugar and a product with a terminal 5'-phosphate.",\N,\N,\N,\N,\N
1840,1.1.1.9,D-xylulose reductase.,Xylitol + NAD(+) = D-xylulose + NADH.,\N,\N,Pentose and glucuronate interconversions,Carbohydrate Metabolism,METABOLIC
1841,1.1.1.9,D-xylulose reductase.,Xylitol + NAD(+) = D-xylulose + NADH.,\N,\N,Pentose and glucuronate interconversions,Carbohydrate Metabolism,METABOLIC
1855,3.1.-.-,Acting on ester bonds.,\N,\N,\N,\N,\N,\N
1866,1.1.1.3,Homoserine dehydrogenase.,L-homoserine + NAD(P)(+) = L-aspartate 4-semialdehyde + NAD(P)H.,\N,\N,Lysine biosynthesis,Amino Acid Metabolism,METABOLIC
1866,1.1.1.3,Homoserine dehydrogenase.,L-homoserine + NAD(P)(+) = L-aspartate 4-semialdehyde + NAD(P)H.,\N,\N,"Glycine, serine and threonine metabolism",Amino Acid Metabolism,METABOLIC
1877,3.1.-.-,Acting on ester bonds.,\N,\N,\N,\N,\N,\N
1880,1.14.11.8,Trimethyllysine dioxygenase.,"N6,N6,N6-trimethyl-L-lysine + 2-oxoglutarate + O(2) = 3-hydroxy- N6,N6,N6-trimethyl-L-lysine + succinate + CO(2).",Iron; Ascorbate.,\N,Lysine degradation,Amino Acid Metabolism,METABOLIC
1884,1.14.14.1,Unspecific monooxygenase.,RH + reduced flavoprotein + O(2) = ROH + oxidized flavoprotein + H(2)O.,Heme-thiolate.,\N,Tryptophan metabolism,Amino Acid Metabolism,METABOLIC
1884,1.14.14.1,Unspecific monooxygenase.,RH + reduced flavoprotein + O(2) = ROH + oxidized flavoprotein + H(2)O.,Heme-thiolate.,\N,Fatty acid metabolism,Lipid Metabolism,METABOLIC
1884,1.14.14.1,Unspecific monooxygenase.,RH + reduced flavoprotein + O(2) = ROH + oxidized flavoprotein + H(2)O.,Heme-thiolate.,\N,gamma-Hexachlorocyclohexane degradation,Biodegradation of Xenobiotics,METABOLIC
1888,2.1.1.-,Methyltransferases.,\N,\N,\N,Androgen and estrogen metabolism,Lipid Metabolism,METABOLIC
1888,2.1.1.-,Methyltransferases.,\N,\N,\N,Aminophosphonate metabolism,Metabolism of Other Amino Acids,METABOLIC
1888,2.1.1.-,Methyltransferases.,\N,\N,\N,Porphyrin and chlorophyll metabolism,Metabolism of Cofactors and Vitamins,METABOLIC
1888,2.1.1.-,Methyltransferases.,\N,\N,\N,Ubiquinone biosynthesis,Metabolism of Cofactors and Vitamins,METABOLIC
1888,2.1.1.-,Methyltransferases.,\N,\N,\N,Histidine metabolism,Amino Acid Metabolism,METABOLIC
1888,2.1.1.-,Methyltransferases.,\N,\N,\N,Selenoamino acid metabolism,Metabolism of Other Amino Acids,METABOLIC
1888,2.1.1.-,Methyltransferases.,\N,\N,\N,Tryptophan metabolism,Amino Acid Metabolism,METABOLIC
1888,2.1.1.-,Methyltransferases.,\N,\N,\N,Tyrosine metabolism,Amino Acid Metabolism,METABOLIC
1889,1.14.13.1,Salicylate 1-monooxygenase.,Salicylate + NADH + O(2) = catechol + NAD(+) + H(2)O + CO(2).,FAD.,\N,Fluorene degradation,Biodegradation of Xenobiotics,METABOLIC
1889,1.14.13.1,Salicylate 1-monooxygenase.,Salicylate + NADH + O(2) = catechol + NAD(+) + H(2)O + CO(2).,FAD.,\N,Nitorobenzene degradation,Biodegradation of Xenobiotics,METABOLIC
1890,1.14.13.1,Salicylate 1-monooxygenase.,Salicylate + NADH + O(2) = catechol + NAD(+) + H(2)O + CO(2).,FAD.,\N,Fluorene degradation,Biodegradation of Xenobiotics,METABOLIC
1890,1.14.13.1,Salicylate 1-monooxygenase.,Salicylate + NADH + O(2) = catechol + NAD(+) + H(2)O + CO(2).,FAD.,\N,Nitorobenzene degradation,Biodegradation of Xenobiotics,METABOLIC
1899,6.3.2.19,Ubiquitin--protein ligase.,ATP + ubiquitin + protein lysine = AMP + diphosphate + protein N-ubiquityllysine.,\N,\N,\N,\N,\N
1905,2.7.6.1,Ribose-phosphate pyrophosphokinase.,ATP + D-ribose 5-phosphate = AMP + 5-phospho-alpha-D-ribose 1-diphosphate.,\N,Gout (one form) with urate urolithiasis; MIM:311850.,Purine metabolism,Nucleotide Metabolism,METABOLIC
1905,2.7.6.1,Ribose-phosphate pyrophosphokinase.,ATP + D-ribose 5-phosphate = AMP + 5-phospho-alpha-D-ribose 1-diphosphate.,\N,Gout (one form) with urate urolithiasis; MIM:311850.,Pentose phosphate pathway,Carbohydrate Metabolism,METABOLIC
1911,3.4.22.40,Bleomycin hydrolase.,"Inactivates bleomycin B2 (a cytotoxic glycometallopeptide) by hydrolysis of a carboxyamide bond of b-aminoalanine, but also shows general aminopeptidase activity. The specificity varies somewhat with source, but amino acid arylamides of Met, Leu and Ala a",\N,\N,\N,\N,\N
1912,6.3.2.19,Ubiquitin--protein ligase.,ATP + ubiquitin + protein lysine = AMP + diphosphate + protein N-ubiquityllysine.,\N,\N,\N,\N,\N
1913,2.3.1.9,Acetyl-CoA C-acetyltransferase.,2 acetyl-CoA = CoA + acetoacetyl-CoA.,\N,Alpha-methylacetoaceticaciduria; MIM:203750.,Fatty acid biosynthesis (path 2),Lipid Metabolism,METABOLIC
1913,2.3.1.9,Acetyl-CoA C-acetyltransferase.,2 acetyl-CoA = CoA + acetoacetyl-CoA.,\N,Alpha-methylacetoaceticaciduria; MIM:203750.,Tryptophan metabolism,Amino Acid Metabolism,METABOLIC
1913,2.3.1.9,Acetyl-CoA C-acetyltransferase.,2 acetyl-CoA = CoA + acetoacetyl-CoA.,\N,Alpha-methylacetoaceticaciduria; MIM:203750.,Benzoate degradation via CoA ligation,Biodegradation of Xenobiotics,METABOLIC
1913,2.3.1.9,Acetyl-CoA C-acetyltransferase.,2 acetyl-CoA = CoA + acetoacetyl-CoA.,\N,Alpha-methylacetoaceticaciduria; MIM:203750.,Propanoate metabolism,Carbohydrate Metabolism,METABOLIC
1913,2.3.1.9,Acetyl-CoA C-acetyltransferase.,2 acetyl-CoA = CoA + acetoacetyl-CoA.,\N,Alpha-methylacetoaceticaciduria; MIM:203750.,Fatty acid metabolism,Lipid Metabolism,METABOLIC
1913,2.3.1.9,Acetyl-CoA C-acetyltransferase.,2 acetyl-CoA = CoA + acetoacetyl-CoA.,\N,Alpha-methylacetoaceticaciduria; MIM:203750.,Synthesis and degradation of ketone bodies,Lipid Metabolism,METABOLIC
1913,2.3.1.9,Acetyl-CoA C-acetyltransferase.,2 acetyl-CoA = CoA + acetoacetyl-CoA.,\N,Alpha-methylacetoaceticaciduria; MIM:203750.,Butanoate metabolism,Carbohydrate Metabolism,METABOLIC
1913,2.3.1.9,Acetyl-CoA C-acetyltransferase.,2 acetyl-CoA = CoA + acetoacetyl-CoA.,\N,Alpha-methylacetoaceticaciduria; MIM:203750.,Pyruvate metabolism,Carbohydrate Metabolism,METABOLIC
1913,2.3.1.9,Acetyl-CoA C-acetyltransferase.,2 acetyl-CoA = CoA + acetoacetyl-CoA.,\N,Alpha-methylacetoaceticaciduria; MIM:203750.,Lysine degradation,Amino Acid Metabolism,METABOLIC
1916,3.5.1.4,Amidase.,A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).,\N,\N,Tryptophan metabolism,Amino Acid Metabolism,METABOLIC
1916,3.5.1.4,Amidase.,A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).,\N,\N,Benzoate degradation via CoA ligation,Biodegradation of Xenobiotics,METABOLIC
1916,3.5.1.4,Amidase.,A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).,\N,\N,Cyanoamino acid metabolism,Metabolism of Other Amino Acids,METABOLIC
